"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","100","40","40.0000","169","43","25.4400","44","41.5100","29","16.9600","860","32654.2100","255.1100","128","7","608.3900","121.6800","5","25","8943.0000","558.9400","16","26","3538.0000","136.0800","26","2","300.0000","0","0.0000","46043.6","920","225","2","3","166","26.9100","302:30","302:30","81:25","81:25","19:25","500","0","5207","0","2309","0","4773.4100","50.0000","250.0000","50.0000","50.0000"
"Tribeca, NY","158","54","34.1800","243","98","40.3300","19","11.5200","33","9.8800","3098","50739.3200","260.2000","195","1","112.7900","112.7900","1","30","20094.4600","873.6700","23","26","2534.1000","97.4700","26","2","0.0000","3","918.0000","74398.67","3160","468","2","2","241","34.7000","293:15","293:15","101:45","101:45","31:15","530","380","14193.1","0","2541","810","11518.9900","0.0000","0.0000","50.0000","250.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","365","61","16.7100","666","147","22.0700","163","45.0300","81","11.4900","8152","125382.9500","304.3300","412","36","1975.2900","79.0100","25","190","77913.3300","742.0300","105","159","20171.0000","126.8600","159","3","150.0000","7","2463.6700","228056.24","8547","2016.67","5","7","659","43.2400","603:00","603:00","260:45","260:45","112:00","4600.9","1537.27","21692.51","2242.66","19085.99","3027.99","18787.1900","150.0000","0.0000","200.0000","500.0000"
"Ridgewood, NJ","390","87","22.3100","735","189","25.7100","145","35.9800","177","23.2300","7832","145185.6200","317.6900","457","22","2649.0000","147.1700","18","93","39099.0000","521.3200","75","198","24596.0000","122.9800","200","24","1700.0000","6","2333.0000","215562.62","8175","3208","12","2","733","48.1600","600:45","600:45","289:20","289:20","59:20","3271.86","99","26915.71","0","20032","514","17272.8900","1200.0000","500.0000","250.0000","350.0000"
"Red Bank, NJ","380","91","23.9500","659","165","25.0400","127","33.7800","181","24.8300","9935","149763.6300","355.7300","421","18","1676.7700","167.6800","10","72","39044.0000","723.0400","54","136","16378.0000","96.3400","170","10","796.0000","31","22656.4900","230314.89","10202","3750","19","4","655","51.3300","527:10","527:10","270:35","270:35","63:15","2687.44","73","21519","1084","13914.97","931","21355.0000","300.0000","496.0000","150.0000","50.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","208","69","33.1700","332","90","27.1100","69","31.9400","56","14.0700","3041","67914.0900","274.9600","247","24","1628.8000","116.3400","14","56","29045.1600","660.1200","44","39","4821.0000","123.6200","39","15","1610.0000","1","2100.0000","107119.05","3176","2710","8","5","327","48.2700","329:35","329:35","159:05","159:05","99:50","2098.8","125","21637.76","150","2868","1403","13316.2000","1200.0000","410.0000","150.0000","250.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
